embedding_manifest_schema_version,feature_row_id,feature_case_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,painting_id,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,image_role,model_family,embedding_id,embedding_group_id,npz_key,vector_dim,dtype,feature_input_size,clip_model_name,clip_model_revision,dinov2_model_name,dinov2_model_revision,device,status
1.0.0,sd24_0001__full_image__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,clean,clip,sd24_0001__full_image__clean,canonical__p001__full_image,sd24_0001__full_image__feature_similarity__clip__clean,512,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__full_image__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,damaged,clip,sd24_0001__full_image__damaged,canonical__p001__full_image,sd24_0001__full_image__feature_similarity__clip__damaged,512,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__full_image__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,restored,clip,sd24_0001__full_image__restored,canonical__p001__full_image,sd24_0001__full_image__feature_similarity__clip__restored,512,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__full_image__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,clean,dinov2,sd24_0001__full_image__clean,canonical__p001__full_image,sd24_0001__full_image__feature_similarity__dinov2__clean,384,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__full_image__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,damaged,dinov2,sd24_0001__full_image__damaged,canonical__p001__full_image,sd24_0001__full_image__feature_similarity__dinov2__damaged,384,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__full_image__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,restored,dinov2,sd24_0001__full_image__restored,canonical__p001__full_image,sd24_0001__full_image__feature_similarity__dinov2__restored,384,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__content_region__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,clean,clip,sd24_0001__content_region__clean,canonical__p001__content_region,sd24_0001__content_region__feature_similarity__clip__clean,512,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__content_region__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,damaged,clip,sd24_0001__content_region__damaged,canonical__p001__content_region,sd24_0001__content_region__feature_similarity__clip__damaged,512,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__content_region__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,restored,clip,sd24_0001__content_region__restored,canonical__p001__content_region,sd24_0001__content_region__feature_similarity__clip__restored,512,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
1.0.0,sd24_0001__content_region__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,p001,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,clean,dinov2,sd24_0001__content_region__clean,canonical__p001__content_region,sd24_0001__content_region__feature_similarity__dinov2__clean,384,float32,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,cuda,ok
