audit_section,check,observed,expected,issue_count,passed,audited_at_utc
module_inventory,duplicate_case_ids,0,0,0,True,2026-07-25T18:30:13.211654+00:00
module_inventory,duplicate_effect_mask_paths,0,0,0,True,2026-07-25T18:30:13.211654+00:00
module_inventory,duplicate_degraded_paths,0,0,0,True,2026-07-25T18:30:13.211654+00:00
module_inventory,missing_expected_cases,0,0,0,True,2026-07-25T18:30:13.211654+00:00
module_inventory,unexpected_cases,0,0,0,True,2026-07-25T18:30:13.211654+00:00
module_inventory,missing_effect_mask_files,0,0,0,True,2026-07-25T18:30:13.211654+00:00
module_inventory,missing_degraded_files,0,0,0,True,2026-07-25T18:30:13.211654+00:00
module_inventory,orphan_effect_mask_files,0,0,0,True,2026-07-25T18:30:13.211654+00:00
module_inventory,orphan_degraded_files,0,0,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,effect_mask_file_count,105,105,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,degraded_file_count,105,105,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,unexpected_effect_mask_directory_entries,0,0,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,unexpected_degraded_directory_entries,0,0,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,metadata_file_exists,True,True,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,metadata_row_count,105,105,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,validation_failure_count,0,0,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,outside_effect_changed_pixel_count,0,0,0,True,2026-07-25T18:30:13.211654+00:00
canonical_inventory,determinism_failure_count,0,0,0,True,2026-07-25T18:30:13.211654+00:00
