rank_group,rank_position,evaluation_region,dataset_name,case_id,lpips_case_id,restoration_case_id,painting_id,category,title,artist,style,mask_type,is_zero_control,region_pixel_count,damaged_lpips,restored_lpips,lpips_improvement
strongest_improvement,1,full_image,canonical,canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,scratch_thin,False,589824,0.524122,0.001695,0.522427
strongest_improvement,2,full_image,mask_robustness,mask_robustness__p001__scratch_thin__variant_05,lama__mask_robustness__mask_robustness__p001__scratch_thin__variant_05,lama__mask_robustness__mask_robustness__p001__scratch_thin__variant_05,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,,False,589824,0.498262,0.002608,0.495653
strongest_improvement,3,full_image,canonical,canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,mixed_damage,False,589824,0.504022,0.024102,0.479921
strongest_improvement,4,full_image,canonical,canonical__p006_mixed_damage,lama__canonical__canonical__p006_mixed_damage,lama__canonical__canonical__p006_mixed_damage,p006,portrait_figure,Boy with a Sword,Édouard Manet,Realism / early modern French painting,mixed_damage,False,589824,0.494518,0.016288,0.47823
strongest_improvement,5,full_image,mask_robustness,mask_robustness__p001__scratch_thin__variant_04,lama__mask_robustness__mask_robustness__p001__scratch_thin__variant_04,lama__mask_robustness__mask_robustness__p001__scratch_thin__variant_04,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,,False,589824,0.46501,0.005844,0.459166
strongest_improvement,6,full_image,canonical,canonical__p027_mixed_damage,lama__canonical__canonical__p027_mixed_damage,lama__canonical__canonical__p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,Jan Both,,mixed_damage,False,589824,0.462782,0.017495,0.445286
strongest_improvement,7,full_image,mask_robustness,mask_robustness__p001__scratch_thin__variant_03,lama__mask_robustness__mask_robustness__p001__scratch_thin__variant_03,lama__mask_robustness__mask_robustness__p001__scratch_thin__variant_03,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,,False,589824,0.438732,0.000738,0.437994
strongest_improvement,8,full_image,canonical,canonical__p010_scratch_thin,lama__canonical__canonical__p010_scratch_thin,lama__canonical__canonical__p010_scratch_thin,p010,portrait_figure,Joan of Arc,Jules Bastien-Lepage,19th century French painting,scratch_thin,False,589824,0.433097,0.001752,0.431344
strongest_improvement,9,full_image,canonical,canonical__p050_scratch_thin,lama__canonical__canonical__p050_scratch_thin,lama__canonical__canonical__p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,Charles-François Daubigny,,scratch_thin,False,589824,0.428585,0.002534,0.426051
strongest_improvement,10,full_image,canonical,canonical__p050_mixed_damage,lama__canonical__canonical__p050_mixed_damage,lama__canonical__canonical__p050_mixed_damage,p050,high_texture_brushwork,Landscape with a Sunlit Stream,Charles-François Daubigny,,mixed_damage,False,589824,0.444659,0.021738,0.422922
