original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,num_seed_outputs,seeds,image_height,image_width,mask_pixel_count,mask_fraction,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,bbox_pixel_count,full_std_mean,full_std_max,full_variance_mean,full_mad_mean,masked_std_mean,masked_std_max,masked_variance_mean,masked_mad_mean,bbox_std_mean,bbox_std_max,bbox_variance_mean,bbox_mad_mean,lpips_pair_count,mean_pairwise_lpips,median_pairwise_lpips,max_pairwise_lpips,range_pairwise_lpips
p031_loss_large,p031_loss_large,p031,p031_loss_large,loss_large,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,83367,0.1413421630859375,408,239,740,699,332,460,152720,0.025787748396396637,0.26634323596954346,0.0023412422742694616,0.022473029792308807,0.10873526334762573,0.26634323596954346,0.015094321221113205,0.09531685709953308,0.06774807721376419,0.26634323596954346,0.008526984602212906,0.059286609292030334,6,0.31811081369717914,0.3171663284301758,0.33506304025650024,0.03451347351074219
p037_loss_large,p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,47216,0.0800509982638889,137,154,438,480,301,326,98126,0.01374635100364685,0.3013257086277008,0.0014593953965231776,0.01199693325906992,0.09862791001796722,0.3013257086277008,0.01745021343231201,0.08670981973409653,0.05274970084428787,0.3013257086277008,0.008481314405798912,0.04629989713430405,6,0.264517975350221,0.27129465341567993,0.28751426935195923,0.07199336588382721
p031_loss_small,p031_loss_small,p031,p031_loss_small,loss_small,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,22150,0.03755357530381945,51,176,754,708,703,532,373996,0.013250786811113358,0.22314667701721191,0.0005038885283283889,0.011482584290206432,0.07779785990715027,0.22314667701721191,0.008120782673358917,0.06776046752929688,0.015859857201576233,0.22314667701721191,0.0007262075669132173,0.013750988058745861,6,0.038153247286876045,0.03830493055284023,0.0425507053732872,0.009028926491737366
p037_loss_small,p037_loss_small,p037,p037_loss_small,loss_small,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,22216,0.037665473090277776,131,148,766,605,635,457,290195,0.010070329532027245,0.3449684679508209,0.0005565743776969612,0.008696143515408039,0.08757559210062027,0.3449684679508209,0.012356937862932682,0.07556495070457458,0.014829367399215698,0.3449684679508209,0.001081830938346684,0.012808188796043396,6,0.07824153577287991,0.07827398926019669,0.0962613970041275,0.04189521074295044
p031_mixed_damage,p031_mixed_damage,p031,p031_mixed_damage,mixed_damage,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,48010,0.08139716254340278,0,0,768,768,768,768,589824,0.01690637692809105,0.2733190357685089,0.0008447737200185657,0.014623584225773811,0.06950902938842773,0.2733190357685089,0.007009974680840969,0.06014886125922203,0.01690637692809105,0.2733190357685089,0.0008447737200185657,0.014623584225773811,6,0.06286330396930377,0.06186971068382263,0.07028940320014954,0.014442883431911469
p037_mixed_damage,p037_mixed_damage,p037,p037_mixed_damage,mixed_damage,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,48626,0.08244154188368055,0,78,768,689,768,611,469248,0.014190769754350185,0.31814277172088623,0.0012116619618609548,0.012410585768520832,0.08735967427492142,0.31814277172088623,0.013229879550635815,0.07732012122869492,0.017026115208864212,0.31814277172088623,0.0015198730397969484,0.01490334514528513,6,0.06291860590378444,0.06391421891748905,0.07072846591472626,0.018162157386541367
p031_scratch_thin,p031_scratch_thin,p031,p031_scratch_thin,scratch_thin,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,15636,0.026509602864583332,0,0,768,768,768,768,589824,0.013451999984681606,0.24365182220935822,0.000421936041675508,0.011637941002845764,0.049358297139406204,0.24365182220935822,0.0037419009022414684,0.04284757748246193,0.013451999984681606,0.24365182220935822,0.000421936041675508,0.011637941002845764,6,0.025014519691467285,0.024872472509741783,0.028555382043123245,0.005959680303931236
p037_scratch_thin,p037_scratch_thin,p037,p037_scratch_thin,scratch_thin,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,12338,0.020918104383680556,0,78,768,689,768,611,469248,0.009023403748869896,0.27231281995773315,0.00023918120132293552,0.00781488697975874,0.05023855343461037,0.27231281995773315,0.0044510201551020145,0.04386205971240997,0.010492732748389244,0.27231281995773315,0.00029725636704824865,0.009092784486711025,6,0.045784556617339454,0.04564301669597626,0.05934768542647362,0.027618594467639923
p021_loss_large,p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,4,"2026,2027,2028,2029",768,768,49986,0.084747314453125,375,161,705,464,330,303,99990,0.014526503160595894,0.27312859892845154,0.0008686755318194628,0.012552601285278797,0.0732654333114624,0.27312859892845154,0.008488873019814491,0.06321953982114792,0.043949298560619354,0.27312859892845154,0.004469673149287701,0.03793678432703018,6,0.2510444050033887,0.25633613765239716,0.26878467202186584,0.039271384477615356
p026_loss_large,p026_loss_large,p026,p026_loss_large,loss_large,architecture_structured,View of a Village along a River,relatively_weak_or_disagreement_prone_stable_diffusion,4,"2026,2027,2028,2029",768,768,44723,0.0758243136935764,264,156,527,465,263,309,81267,0.014036284759640694,0.22631125152111053,0.0008452082402072847,0.012138638645410538,0.08345761895179749,0.22631125152111053,0.009391417726874352,0.07222787290811539,0.053656063973903656,0.22631125152111053,0.005386155564337969,0.046428147703409195,6,0.34533925851186115,0.3450138568878174,0.38427430391311646,0.07902336120605469
