painting_id,category,title,artist,date,style_or_period,medium,source,source_url,license,filename,original_width,original_height,selection_reason,visual_complexity_note,status,notes
p001,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,3427,3968,Classic portrait baseline with strong face and clothing structure.,Single male portrait with dark background and clear facial detail.,selected,Met Open Access.
p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,2336,4000,Full-figure portrait with strong silhouette and clothing structure.,"Figure, skin, dress, and pose create useful restoration targets.",selected,Met Open Access.
p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,3098,3872,Distinct portrait composition with studio context.,"Face, hands, clothing, and background objects.",selected,Met Open Access.
p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,4000,3254,Multi-person portrait with larger composition.,"Multiple faces, fabrics, children, and interior setting.",selected,Met Open Access.
p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,2884,3894,Multi-figure studio portrait.,"Faces, fabrics, and painter-at-work setting.",selected,Met Open Access.
p006,portrait_figure,Boy with a Sword,Édouard Manet,1861,Realism / early modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436948,Public Domain / Open Access,p006.jpg,3000,4000,Cleaner full-figure portrait case.,"Child figure, costume details, and simple background.",selected,Met Open Access.
p007,portrait_figure,Princesse de Broglie,Jean-Auguste-Dominique Ingres,1851-53,Neoclassical,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/459106,Public Domain / Open Access,p007.jpg,3019,4000,Highly detailed portrait with fabric and jewelry.,Fine textures and ornamentation.,selected,Met Open Access.
p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,Francisco de Goya y Lucientes,1787-88,Spanish portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436545,Public Domain / Open Access,p008.jpg,2855,3873,Portrait with props and animals.,Human figure plus animals and objects.,selected,Met Open Access.
p009,portrait_figure,Madame Roulin and Her Baby,Vincent van Gogh,1888,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/459123,Public Domain / Open Access,p009.jpg,2987,3721,Portrait with strong brushwork.,Mother-and-child portrait with painterly texture.,selected,Met Open Access.
p010,portrait_figure,Joan of Arc,Jules Bastien-Lepage,1879,19th century French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/435621,Public Domain / Open Access,p010.jpg,4000,3622,Figure plus scenery/context case.,Human subject embedded in natural background.,selected,Met Open Access.
p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436558,Public Domain / Open Access,p011.jpg,3811,2618,"Wide natural landscape with sky, water, and land structure.",Panoramic view with tonal gradients and distant detail.,selected,Met Open Access.
